variety,@vboone,@paulgwine ,@mattkettmann,@wawinereport,@gordone_cellars,@suskostrzewa,@JoeCz,@wineschach,@laurbuzz,@vossroger,@winewchristina
Pinot Noir,1,1,1,1,1,0,1,1,0,1,0
Chardonnay,1,1,1,1,1,1,1,1,1,0,0
Cabernet Sauvignon,1,1,1,1,1,1,1,1,0,0,0
Red Blend,1,1,1,1,1,1,1,1,0,0,0
Syrah,1,1,1,1,1,0,0,0,0,0,0
Zinfandel,1,1,1,1,1,0,0,0,0,0,0
Bordeaux-style Red Blend,1,1,1,1,1,1,1,1,0,0,0
Merlot,1,1,1,1,1,1,1,0,0,0,0
Sauvignon Blanc,1,1,1,1,1,1,0,0,0,0,0
Rhône-style Red Blend,1,1,1,1,1,0,0,0,0,0,0
Riesling,1,1,1,1,1,1,1,1,0,0,0
Rosé,1,1,1,1,1,1,1,0,0,0,0
White Blend,1,1,1,1,1,1,1,1,1,0,0
Sparkling Blend,1,1,1,1,1,0,1,0,0,0,1
Cabernet Franc,1,1,1,1,1,1,1,0,0,0,0
Malbec,1,1,1,1,1,0,0,0,0,0,0
Grenache,1,1,1,1,1,0,0,0,0,0,0
Pinot Gris,1,1,1,1,1,1,0,0,0,0,0
Viognier,1,1,1,1,1,0,0,1,0,0,0
Petite Sirah,1,1,1,1,1,0,0,0,0,0,0
Sangiovese,1,1,1,1,1,0,0,0,0,0,0
Rhône-style White Blend,1,1,1,1,1,0,0,0,0,0,0
Tempranillo,1,1,1,1,1,0,0,0,0,0,0
Mourvèdre,1,1,1,1,1,0,0,0,0,0,0
Barbera,1,1,1,1,1,0,0,0,0,0,0
Gewürztraminer,1,1,1,1,1,1,0,1,0,0,0
Petit Verdot,1,1,1,1,1,0,0,0,0,0,0
G-S-M,1,1,1,1,1,0,0,0,0,0,0
Meritage,1,1,1,1,1,1,0,0,0,0,0
Chenin Blanc,1,1,1,1,1,0,0,0,0,0,0
Pinot Blanc,1,1,1,1,1,0,1,0,0,0,0
Roussanne,1,1,1,1,1,0,0,0,0,0,0
Pinot Grigio,1,1,1,1,1,0,0,0,0,0,0
Grenache Blanc,1,1,1,1,1,0,0,0,0,0,0
Grüner Veltliner,1,1,1,1,1,0,0,0,0,0,0
Albariño,1,0,1,1,1,0,0,0,0,0,0
Primitivo,1,1,1,1,1,0,0,0,0,0,0
Cabernet Sauvignon-Syrah,1,1,1,1,0,0,0,0,0,0,0
Sémillon,1,1,1,1,1,0,0,0,0,0,0
Moscato,1,1,1,1,1,0,0,0,0,0,0
Carmenère,1,1,0,1,1,0,0,0,0,0,0
Bordeaux-style White Blend,0,1,1,1,0,0,0,0,0,0,0
Nebbiolo,1,1,1,1,0,0,0,0,0,0,0
Port,1,1,1,0,1,0,0,0,0,0,0
Cinsault,1,0,0,1,1,0,0,0,0,0,0
Sauvignon Blanc-Semillon,1,1,1,1,1,0,0,0,0,0,0
Tannat,1,1,1,1,1,0,0,0,0,0,0
Syrah-Grenache,1,1,1,0,1,0,0,0,0,0,0
Syrah-Cabernet Sauvignon,1,1,1,1,0,0,0,0,0,0,0
Marsanne,1,1,1,1,0,0,0,0,0,0,0
Cabernet Sauvignon-Merlot,1,1,1,0,0,1,0,0,0,0,0
Muscat,1,1,0,1,1,0,0,1,0,0,0
Grenache-Syrah,1,0,1,1,1,0,0,0,0,0,0
Semillon-Sauvignon Blanc,1,1,1,1,0,0,0,0,0,0,0
Fumé Blanc,1,1,0,0,1,0,0,0,0,0,0
Carignane,1,0,1,0,1,0,0,0,0,0,0
Vermentino,1,1,1,0,1,0,0,0,0,0,0
Dolcetto,1,1,1,1,0,0,0,0,0,0,0
Cabernet Blend,1,0,0,0,0,0,0,0,0,0,0
Verdelho,1,0,1,0,1,0,0,0,0,0,0
Muscat Canelli,1,1,1,1,1,0,0,0,0,0,0
Champagne Blend,0,1,0,0,1,0,0,0,0,0,0
