rule,sup,conf,lift
@suskostrzewa => @JoeCz,0.060109289617486336,0.6470588235294118,7.894117647058825
@JoeCz => @suskostrzewa,0.060109289617486336,0.7333333333333333,7.894117647058822
@wineschach => @JoeCz,0.03825136612021858,0.6363636363636364,7.763636363636364
@JoeCz => @wineschach,0.03825136612021858,0.4666666666666667,7.763636363636364
@suskostrzewa => @wineschach,0.03825136612021858,0.4117647058823529,6.850267379679145
@wineschach => @suskostrzewa,0.03825136612021858,0.6363636363636364,6.850267379679144
@wineschach => @gordone_cellars,0.060109289617486336,1.0,2.2875
@gordone_cellars => @wineschach,0.060109289617486336,0.1375,2.2875
@wineschach => @wawinereport,0.0546448087431694,0.9090909090909091,2.0795454545454546
@wawinereport => @wineschach,0.0546448087431694,0.125,2.0795454545454546
